ID,ชนิด,รหัสสินค้า,ชื่อ,เผยแพร่แล้ว,เป็นรายการเด่นหรือไม่,การมองเห็นในแค็ตตาล็อก,คำอธิบายแบบย่อ,รายละเอียดเพิ่มเติม,วันเริ่มต้นลดราคา,วันสิ้นสุดการลดราคา,สถานะภาษี,กลุ่มภาษี,มีสินค้าในคลังสินค้า?,คลังสินค้า,สินค้าคงคลังเหลือน้อย,อนุญาตให้จองสินค้าหรือไม่,จำกัดการขายแค่ 1 ชิ้นหรือไม่?,น้ำหนัก (กรัม),ยาว (เซนติเมตร),กว้าง (เซนติเมตร),สูง (เซนติเมตร),เปิดให้ผู้ใช้รีวิวสินค้า?,บันทึกในการสั่งซื้อ,ราคาที่ลด,ราคาปกติ,หมวดหมู่,ป้ายกำกับ,ประเภทการจัดส่ง,ไฟล์รูปภาพ,ลิมิตจำนวนดาวน์โหลด,วันหมดอายุดาวน์โหลด,หลัก,สินค้ากลุ่ม,Up-sells,Cross-sells,URL ภายนอก,ข้อความของปุ่ม,ตำแหน่ง,ชื่อคุณสมบัติ 1,ค่าคุณสมบัติ 1 ,คุณสมบัติภายนอกที่เห็นได้ 1,คุณสมบัติทั่วไป 1
179,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,500,,,,,,,,,,,,,3,,,,
1014,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,510,,,,,,,,,,,,,3,,,,
1019,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,500,,,,,,,,,,,,,2,,,,
1020,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,500,,,,,,,,,,,,,0,,,,
1404,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,510,,,,,,,,,,,,,1,,,,
1405,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,510,,,,,,,,,,,,,2,,,,
1454,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,46,56,,,,,,,,,,,,,0,,,,
1455,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,46,56,,,,,,,,,,,,,0,,,,
1456,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,46,56,,,,,,,,,,,,,0,,,,
1459,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
1461,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
1463,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
1465,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
1467,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
1469,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
1471,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
1472,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
1475,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,46,56,,,,,,,,,,,,,0,,,,
1477,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,46,56,,,,,,,,,,,,,0,,,,
1479,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
1483,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,46,56,,,,,,,,,,,,,0,,,,
1581,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
1585,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
1587,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
1589,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
1591,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
1593,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
2671,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,,,,,,,,,,0,,,,
2673,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,,,,,,,,,,0,,,,
2681,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,44,,,,,,,,,,,,,0,,,,
2683,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,44,,,,,,,,,,,,,0,,,,
2685,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,39,,,,,,,,,,,,,0,,,,
2686,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,39,,,,,,,,,,,,,0,,,,
2689,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
2691,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
2694,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
2696,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
2698,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
2822,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
2823,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,78,,,,,,,,,,,,,0,,,,
2824,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48,,,,,,,,,,,,,0,,,,
2825,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,50,,,,,,,,,,,,,0,,,,
2826,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
2827,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
3656,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,1,,,,
3666,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,1,,,,
3679,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,1,,,,
3681,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,1,,,,
3685,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,1,,,,
3689,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,1,,,,
3693,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,1,,,,
4102,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,46,56,,,,,,,,,,,,,0,,,,
4537,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,501,,,,,,,,,,,,,0,,,,
4539,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,502,,,,,,,,,,,,,0,,,,
4964,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1190,,,,,,,,,,,,,2,,,,
4965,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1190,,,,,,,,,,,,,3,,,,
4966,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1190,,,,,,,,,,,,,4,,,,
4967,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1190,,,,,,,,,,,,,0,,,,
5045,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,501,,,,,,,,,,,,,0,,,,
5046,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,502,,,,,,,,,,,,,0,,,,
5102,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,500,,,,,,,,,,,,,2,,,,
5106,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,500,,,,,,,,,,,,,3,,,,
5107,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,500,,,,,,,,,,,,,1,,,,
5124,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,500,,,,,,,,,,,,,1,,,,
5129,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,500,,,,,,,,,,,,,2,,,,
5130,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,500,,,,,,,,,,,,,0,,,,
5131,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,500,,,,,,,,,,,,,4,,,,
5200,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,200,,,,,,,,,,,,,1,,,,
5400,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,17.99,,,,,,,,,,,,,0,,,,
5451,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,28.99,,,,,,,,,,,,,0,,,,
5454,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,38.5,,,,,,,,,,,,,0,,,,
5456,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27.49,,,,,,,,,,,,,0,,,,
5458,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27.49,,,,,,,,,,,,,0,,,,
5460,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,5.49,6.5,,,,,,,,,,,,,0,,,,
5467,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,4.79,5.5,,,,,,,,,,,,,0,,,,
5469,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,27.49,34.49,,,,,,,,,,,,,0,,,,
6355,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
6356,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
6357,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
6393,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
6394,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
6395,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,46,,,,,,,,,,,,,0,,,,
6807,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,5.49,6.5,,,,,,,,,,,,,0,,,,
55367,simple,,ของขวัญวันแม่ (SETสมุดโน๊ตรักแม่ชามะลิ),1,0,visible,,"<span>กล่องของขวัญแทนใจรักแม่ (SETสมุดโน๊ตรักแม่&amp;ชามะลิ) </span>\n\n<span>ส่งมอบความรักให้คุณแม่ ด้วยกล่องเซ็ตแทนใจ </span><span>สมุดบันทึกปกไม้เลเซอร์รักแม่ &amp; ชามะลิหอมกรุ่น พร้อมช่อดอกมะลิสีขาว</span>\n\n<span> ขนาดปกไม้ กว้าง 13.2cm. x ยาว 11.4cm. </span>\n\n<span>เนื้อในกระดาษถนอมสายตาสีครีม 80แผ่น </span>\n\n<span>ตกแต่งในกล่องคราฟท์โทนอบอุ่นและสวยงาม พร้อมป้ายแท็กไม้รักแม่ </span>\n\n<span>พิเศษ สามารถเลเซอร์ชื่อ และข้อความบอกรักแม่บนปกไม้ได้</span>",,,taxable,,1,,,0,0,0.5,,,,1,,299,599,"ของขวัญตามเทศกาล, ทั้งหมด",ของขวัญวันแม่,,"https://dev.iconidea.co.th/wp-content/uploads/2023/06/289301.jpg, https://dev.iconidea.co.th/wp-content/uploads/2023/06/289302.webp, https://dev.iconidea.co.th/wp-content/uploads/2023/06/289303.webp, https://dev.iconidea.co.th/wp-content/uploads/2023/06/289304.webp, https://dev.iconidea.co.th/wp-content/uploads/2023/06/289305.webp",,,,,,,,,0,,,,
55720,simple,OL-F70CCS2204,ปฏิทินตั้งโต๊ะ 2566/2023 ชุด Work Form Heart สร้างความสุขกับงาน ก้าวผ่านปัญหา,1,0,visible,,"<div class=""product-detail page-product__detail"">\n<div class=""U9rGd1"">\n<div class=""MCCLkq"">\n<div class=""f7AU53"">\n<p class=""irIKAp""><a href=""https://dev.iconidea.co.th/wp-content/uploads/2023/06/ขนาดปฏิทิน-04_1-scaled.webp""><img src=""https://dev.iconidea.co.th/wp-content/uploads/2023/06/ขนาดปฏิทิน-04_1-300x283.webp"" alt="""" width=""300"" height=""283"" class=""alignnone size-medium wp-image-56178"" /></a></p>\n<p class=""irIKAp"">สร้างความสุขกับงาน ก้าวผ่านทุกปัญหา หลายคนอาจไม่ประสบผลสำเร็จในการทำงาน หรืออาจประสบความสำเร็จกับการทำงาน แต่ไม่มีความสุขเพราะรู้สึกว่าเครียดหรือกดดันกับงานมากจนเกินไป ปฏิทินชุดนี้รวบรวมแนวคิดและวิธีการทำงาน และการจัดสรรเวลาให้สมดุลกันในการทำงานยุคใหม่ ให้ท่านได้ส่งมอบเป็นของขวัญในโอกาสต้นปีแห่งความสุขและความสำเร็จ</p>\n<p class=""irIKAp""><strong>สเปคสินค้า </strong></p>\n\n<ul>\n 	<li class=""irIKAp"">กระดาษอาร์ตการ์ด 230แกรม</li>\n 	<li class=""irIKAp"">ขนาดรวมฐาน 8 x 7.25 นิ้ว</li>\n 	<li class=""irIKAp"">จำนวน 14 แผ่น 28 หน้า</li>\n 	<li class=""irIKAp"">เข้าห่วงกระดูกงูสีขาว</li>\n 	<li class=""irIKAp"">บรรจุใส่ถุงพลาสติกใสฝากาว</li>\n 	<li class=""irIKAp"">มีบอกวันพระ วันหยุดและวันสำคัญของไทย</li>\n</ul>\n<p class=""irIKAp"">หมายเหตุ : วันพระของปฏิทิน iconidea จะเป็นรูปดวงจันทร์ นะคะ</p>\n<p class=""irIKAp"">#ปฏิทิน2023#ปฏิทิน2566#ปฏิทิน#ปฏิทินตั้งโต๊ะ#ปฏิทินตั้งโต๊ะ2023#ปฏิทินตั้งตั้ง2566#ของขวัญปีใหม่</p>\n\n</div>\n</div>\n</div>\n</div>\n<div>\n<div>\n<div class=""product-ratings"" data-nosnippet=""true"">\n<div class=""product-ratings__header"">\n<div class=""product-ratings__header_score"">คะแนนของสินค้า</div>\n</div>\n</div>\n</div>\n</div>",,,taxable,,1,,,0,0,0.4,,,,1,,69,139,"ทั้งหมด, เครื่องเขียนและอุปกรณ์สำนักงาน > ปฎิทิน, เครื่องเขียนและอุปกรณ์สำนักงาน",ปฎิทิน,,"https://dev.iconidea.co.th/wp-content/uploads/2023/06/294291_11zon-1.webp, https://dev.iconidea.co.th/wp-content/uploads/2023/06/294290_11zon-1.webp",,,,,,,,,0,,,,
56186,simple,OL-F60CSS2201,ปฏิทินตั้งโต๊ะ 2566/2023 ชุดSUCCESS CALENDAR,1,0,visible,,"<span>ปฏิทินดีไซน์ทันสมัย ออกแบบเพื่อการใช้งานโดยเฉพาะ พื้นที่ในช่องตารางเขียนขนาดใหญ่ สะดวกในการจดบันทึก ขนาดเหมาะสมกับการวางบนโต๊ะทำงาน ให้การทำงานของท่านมีแต่ความสำเร็จ </span>\n\n<span>สเปคสินค้า </span>\n\n<span>- ขนาดรวมฐาน 8 x 7.25 นิ้ว </span>\n\n<span>- กระดาษอาร์ตการ์ด 230 แกรม </span>\n\n<span>- จำนวน 8 แผ่น 16 หน้า - เข้าห่วงกระดูกงูสีขาว </span>\n\n<span>- บรรจุใส่ถุงพลาสติกใสฝากาว </span>\n\n<span>- มีบอกวันพระ วันหยุดและวันสำคัญของไทย </span>\n\n<span>หมายเหตุ : วันพระของปฏิทิน iconidea จะเป็นรูปดวงจันทร์ นะคะ</span>",,,taxable,,1,,,0,0,0.4,,,,1,,59,129,"ทั้งหมด, เครื่องเขียนและอุปกรณ์สำนักงาน > ปฎิทิน, เครื่องเขียนและอุปกรณ์สำนักงาน",ปฏิทิน,,"https://dev.iconidea.co.th/wp-content/uploads/2023/06/294295_11zon.webp, https://dev.iconidea.co.th/wp-content/uploads/2023/06/294294_11zon.webp",,,,,,,,,0,,,,
56190,simple,OL-F80CCL2203,ปฏิทินตั้งโต๊ะ 2566/2023 ชุด Mindset รีเซ็ตความคิด ชีวิตเป็นสุข,1,0,visible,,"<span>รีเซ็ตความคิด ชีวิตเป็นสุข ความคิดเป็นสิ่งสำคัญและสามารถกำหนดความสุขในชีวิตของเราได้ ในปัจจุบันเราต้องพบเจอเรื่องราวและปัญหาต่าง ๆ อาจทำให้เรารู้สึกกังวล ปฏิทินชุดนี้รวบรวมวิธีคิดที่จะช่วยให้เรามีความสุข ด้วยวิธีการง่ายๆ ในโอกาสเริ่มต้นปีแห่งความสุข ส่งมอบปฏิทินชุดนี้แด่บุคคลที่ท่านรัก </span>\n\n<span>สเปคสินค้า </span>\n\n<span>- กระดาษการ์ดอาร์ต 230แกรม </span>\n\n<span>- ขนาดรวมฐาน 9 x 8 นิ้ว </span>\n\n<span>- จำนวน 14 แผ่น 28 หน้า </span>\n\n<span>- เข้าห่วงกระดูกงูสีขาว </span>\n\n<span>- บรรจุใส่ถุงพลาสติกใสฝากาว </span>\n\n<span>- มีบอกวันพระ วันหยุดและวันสำคัญของไทย </span>\n\n&nbsp;",,,taxable,,1,,,0,0,0.5,,,,1,,89,159,"ทั้งหมด, เครื่องเขียนและอุปกรณ์สำนักงาน > ปฎิทิน, เครื่องเขียนและอุปกรณ์สำนักงาน",ปฏิทิน,,"https://dev.iconidea.co.th/wp-content/uploads/2023/06/294293_11zon-1.webp, https://dev.iconidea.co.th/wp-content/uploads/2023/06/294292_11zon-1.webp",,,,,,,,,0,,,,
56200,simple,OL-F75CCM2201,ปฏิทินตั้งโต๊ะ 2566/2023 ชุด professional Plus ความสำเร็จง่ายดาย ทุกความเป็นไปได้ไร้ขีดจำกัด,1,0,visible,,"<span>ความสำเร็จง่ายดาย ทุกความเป็นไปได้ไร้ขีดจำกัด ในการทำงานให้ประสบความสำเร็จ สิ่งหนึ่งที่ต้องนึกถึงอยู่เสมอคือ วิธีการคิดเพื่อให้ได้ผลลัพธ์ที่ดีที่สุด ปฏิทินชุดนี้รวบรวมแนวคิดในการทำงานเพื่อสร้างความสำเร็จและความสุข ให้ท่านได้ส่งมอบไปยังบุคคลที่ท่านรักและเคารพในดอกาสเริ่มต้นปีสู่ความสำเร็จ </span>\n\n<span>สเปคสินค้า </span>\n\n<span>- กระดาษอาร์ตการ์ด 230แกรม</span>\n\n<span>- ขนาดรวมฐาน 7 x 9.25 นิ้ว </span>\n\n<span>- จำนวน 14แผ่น 28 หน้า </span>\n\n<span>- เข้าห่วงกระดูกงูสีขาว </span>\n\n<span>- บรรจุใส่ถุงพลาสติกใสฝากาว </span>\n\n<span>- มีบอกวันพระ วันหยุดและวันสำคัญของไทย </span>\n\n<span>หมายเหตุ : วันพระของปฏิทิน iconidea จะเป็นรูปดวงจันทร์ นะคะ </span>",,,taxable,,1,,,0,0,,,,,1,,79,149,"ทั้งหมด, เครื่องเขียนและอุปกรณ์สำนักงาน > ปฎิทิน, เครื่องเขียนและอุปกรณ์สำนักงาน",ปฏิทิน,,"https://dev.iconidea.co.th/wp-content/uploads/2023/06/294648_31_11zon.webp, https://dev.iconidea.co.th/wp-content/uploads/2023/06/294647_32_11zon.webp",,,,,,,,,0,,,,
56205,simple,OL-F99CCL2201,ปฏิทินตั้งโต๊ะ 2566/2023 ชุด Lucky Japanese Symbols มงคลญี่ปุ่น เกื้อหนุนโชคดี,1,0,visible,,"<span>มงคลญี่ปุ่น เกื้อหนุนโชคดี ประเทศญี่ปุ่นอุดมด้วยวัฒนธรรมที่ล้ำค่าและเป็นเอกลักษณ์เฉพาะตัว มีวิถีชีวิตที่เรียบง่ายแต่มีมนต์เสน่ห์ให้ค้นหา ชาวญี่ปุ่นมีความเชื่อในธรรมชาติ และนำมาเป็นส่วนหนึ่งในการดำเนินชีวิต ในโอกาสเริ่มต้นปีแห่งมงคล ส่งมอบปฏิทินชุดนี้แด่บุคคลที่ท่านรักและเคารพ </span>\n\n<strong>สเปคสินค้า </strong>\n\n<span>- กระดาษการ์ดอาร์ต 230 แกรม </span>\n\n<span>- ขนาดรวมฐาน 9 x 8 นิ้ว </span>\n\n<span>- จำนวน 14 แผ่น 28 หน้า </span>\n\n<span>- เข้าห่วงกระดูกงูสีเงิน </span>\n\n<span>- บรรจุใส่กล่องสวยหรู 1:1 </span>\n\n<span>- มีบอกวันพระ วันหยุดและวันสำคัญของไทย </span>\n\n<span>หมายเหตุ : วันพระของปฏิทิน iconidea จะเป็นรูปดวงจันทร์ นะคะ</span>\n\n<strong>ปฏิทินตั้งโต๊ะ 2566 , calendar 2023</strong>",,,taxable,,1,,,0,0,0.5,,,,1,,99,179,"ทั้งหมด, เครื่องเขียนและอุปกรณ์สำนักงาน > ปฎิทิน, เครื่องเขียนและอุปกรณ์สำนักงาน",ปฏิทิน,,"https://dev.iconidea.co.th/wp-content/uploads/2023/06/294289.jpg, https://dev.iconidea.co.th/wp-content/uploads/2023/06/294289-1.jpg",,,,,,,,,0,,,,
56211,simple,OL-F129DAM1901,สมุดปกแข็งเจาะไดคัท สมุดบันทึกรักษ์โลก Save My Earth,1,0,visible,,"<span>สมุดบันทึกปกแข็งเจาะไดคัท </span><span>Save My Earth สมุดบันทึกรักษ์โลก </span>\n\n<span>ผลิตด้วยกระดาษรีไซเคิล ช่วยลดปัญหาสิ่งแวดล้อม กระดาษสีนวลช่วยถนอมสายตา ให้คุณสามารถสร้างสรรค์บันทึกได้ตามต้องการ </span>\n\n<span>พร้อมที่คั่นหนังสือ ขนาดรูปเล่ม 7""x8.6"" ผลิตด้วยกระดาษรีไซเคิล เข้าห่วงกระดูกงูสีดำ แผ่นรองปกเป็นกระดาษกรีนการ์ด 200 แกรม </span>\n\n<span>เนื้อในเป็นกระดาษโน้ตถนอมสายตา จำนวน 100 แผ่น กล่องบรรจุทำจากวัสดุเพื่อการอนุรักษ์ ช่วยเติมเต็มให้ทุกวันทำงานเป็นมิตรกับสิ่งแวดล้อม</span>",,,taxable,,1,,,0,0,100,,,,1,,89,160,"ทั้งหมด, เครื่องเขียนและอุปกรณ์สำนักงาน > สมุดโน๊ต, เครื่องเขียนและอุปกรณ์สำนักงาน",สมุดโน๊ต,Shipping Weight,"https://dev.iconidea.co.th/wp-content/uploads/2023/06/294626_21_11zon.webp, https://dev.iconidea.co.th/wp-content/uploads/2023/06/294625_28_11zon.webp, https://dev.iconidea.co.th/wp-content/uploads/2023/06/294627_29_11zon.webp, https://dev.iconidea.co.th/wp-content/uploads/2023/06/294628_22_11zon-2.webp",,,,,,,,,0,,,,
